Word,Description,Hint
증권,"금전적 가치가 있는 문서로서 주식이나 채권 등 재산적 가치를 지닌 권리를 표시하는 이 용어는 무엇일까요?",앞글자 '증'
주식,"기업의 자본을 이루는 균등한 단위로 회사의 소유권을 나타내는 증서이며 주주총회에서 의결권을 행사할 수 있게 하는 이 용어는 무엇일까요?",앞글자 '주'
주가,"증권시장에서 주식이 거래되는 가격으로 기업의 가치와 시장의 수요공급에 따라 변동하는 이 용어는 무엇일까요?",앞글자 '주'
상장,"기업이 발행한 주식을 증권거래소에 등록하여 일반 투자자들이 자유롭게 거래할 수 있도록 하는 이 절차는 무엇일까요?",앞글자 '상'
배당,"기업이 영업활동을 통해 얻은 이익의 일부를 주주들에게 분배하는 이 행위는 무엇일까요?",앞글자 '배'
주주,"주식을 보유하고 있어 회사의 소유권을 가지며 의결권을 행사할 수 있는 사람을 가리키는 이 용어는 무엇일까요?",앞글자 '주'
저축,"미래를 위해 현재의 소비를 줄이고 돈을 모아두는 기본적인 재테크 방법으로 이자 수익을 얻을 수 있는 이것은 무엇일까요?",앞글자 '저'
은행,"예금을 받고 대출을 해주며 금융 거래의 중심이 되는 기관으로 돈을 안전하게 보관하고 운용하는 이곳은 어디일까요?",앞글자 '은'
적금,"매월 일정액을 정기적으로 납입하여 만기에 원금과 이자를 함께 받는 저축 상품으로 계획적인 저축이 가능한 이것은 무엇일까요?",앞글자 '적'
예금,"은행에 돈을 맡기고 약속된 이자를 받는 기본적인 금융 거래로 입출금이 자유로운 보통예금부터 정기예금까지 있는 이것은 무엇일까요?",앞글자 '예'
이자,"돈을 빌리거나 맡길 때 원금 외에 추가로 발생하는 금액으로 금융 거래의 기본이 되는 이것은 무엇일까요?",앞글자 '이'
신용,"개인이나 기업이 빌린 돈을 약속대로 갚을 수 있는 능력과 의지를 평가한 것으로 금융거래의 신뢰도를 나타내는 이것은 무엇일까요?",앞글자 '신'
수요,"소비자들이 특정 가격에서 구매하고자 하는 상품이나 서비스의 양을 의미하는 경제 용어로 시장의 한 축을 이루는 이것은 무엇일까요?",앞글자 '수'
공급,"생산자가 특정 가격에서 시장에 내놓으려는 상품이나 서비스의 양을 의미하는 경제 용어로 수요와 함께 가격을 결정하는 이것은 무엇일까요?",앞글자 '공'
물가,"시장에서 거래되는 상품과 서비스의 전반적인 가격 수준을 나타내는 경제 지표로 구매력의 변화를 보여주는 이것은 무엇일까요?",앞글자 '물'
시장,"판매자와 구매자가 만나 상품이나 서비스를 거래하는 곳으로 가격이 결정되고 경제 활동이 이루어지는 이것은 무엇일까요?",앞글자 '시'
