Word,Description,Category
주식,회사의 조그마한 조각을 가지고 있다는 종이예요,투자
증권,돈처럼 쓸 수 있는 특별한 종이예요,투자
주가,주식을 살 때 내는 돈이에요,투자
상장,회사가 처음으로 주식을 팔기 시작하는 거예요,투자
배당,회사가 번 돈을 주식 가진 사람들에게 나눠주는 것이에요,투자
주주,회사의 조그마한 조각을 가지고 있는 사람이에요,투자
저축,나중에 쓰려고 돈을 모으는 거예요,금융
은행,돈을 안전하게 보관하고 빌려주는 곳이에요,금융
적금,매월 조금씩 돈을 모아서 나중에 더 많이 받는 거예요,금융
예금,은행에 돈을 맡기는 거예요,금융
이자,돈을 빌려쓰거나 맡겼을 때 더 받는 돈이에요,금융
신용,약속을 잘 지키는 것이에요,금융
수요,사람들이 사고 싶어하는 물건의 수예요,경제기초
공급,가게에서 팔 수 있는 물건의 수예요,경제기초
물가,물건들의 값이 얼마나 비싼지 알려주는 거예요,경제기초
시장,사람들이 모여서 물건을 사고 파는 곳이에요,경제기초
더하기,숫자를 합치는 마법이에요,수학
빼기,숫자를 작게 만드는 마법이에요,수학
곱하기,같은 수를 여러 번 더하는 마법이에요,수학
나누기,숫자를 같은 크기로 나누는 마법이에요,수학
도형,여러가지 모양을 가진 그림이에요,수학
Money,물건을 살 때 쓰는 돈이에요,영어
Bank,돈을 지키는 특별한 곳이에요,영어
Save,돈을 아껴두는 것이에요,영어
Buy,물건을 사는 것이에요,영어
Sell,물건을 파는 것이에요,영어
기업,여러 사람들이 함께 일하는 회사예요,비즈니스
고객,가게에서 물건을 사는 사람이에요,비즈니스
품질,물건이 얼마나 잘 만들어졌는지를 말해요,비즈니스
영업,물건을 팔기 위해 열심히 일하는 거예요,비즈니스
전략,무언가를 잘하기 위한 멋진 계획이에요,비즈니스
수출,우리나라 물건을 다른 나라에 파는 거예요,국제거래
수입,다른 나라 물건을 우리나라로 가져오는 거예요,국제거래
환율,다른 나라 돈과 우리나라 돈을 바꾸는 비율이에요,국제거래
투자자,돈을 불려서 이익을 얻으려고 하는 사람이에요,투자
채권,돈을 빌려주고 나중에 이자와 함께 받는 종이예요,투자
펀드,여러 사람의 돈을 모아서 함께 투자하는 거예요,투자
수수료,서비스를 이용할 때 내는 돈이에요,금융
자산,내가 가지고 있는 모든 것의 가치예요,금융
부채,갚아야 할 돈이에요,금융
대출,은행에서 돈을 빌리는 거예요,금융
보험,만약의 사고나 문제를 대비해서 가입하는 거예요,금융
카드,현금 대신 쓸 수 있는 플라스틱 카드예요,금융
통장,은행에서 주는 돈을 기록하는 책이에요,금융
경제,사람들이 물건을 사고 파는 모든 활동이에요,경제기초
가격,물건을 살 때 내야 하는 돈의 양이에요,경제기초
소비,물건이나 서비스를 사용하는 것이에요,경제기초
생산,물건을 만드는 것이에요,경제기초
이익,번 돈에서 쓴 돈을 뺀 것이에요,비즈니스
